,userId,beer_beerid,beer_name,brewery_name,beer_style,beer_abv,review_overall,review_time
0,2,680,Brooklyn Black Chocolate Stout,Brooklyn Brewery,Russian Imperial Stout,10.0,4.5,1322621468
2374,2,867,Birra Moretti,Birra Moretti (Heineken),Euro Pale Lager,4.6,3.0,1310693738
2778,2,22352,Maharaja,Avery Brewing Company,American Double / Imperial IPA,10.3,4.5,1314665814
4258,2,48279,Allagash Black - Bourbon Barrel Aged,Allagash Brewing Company,Belgian Strong Dark Ale,10.0,4.0,1322615046
4305,3,1731,Lone Star Light,Pabst Brewing Company,Light Lager,3.88,1.0,1196098447
4327,3,2684,Samuel Adams Honey Porter,Boston Beer Company (Samuel Adams),English Porter,5.45,4.0,1196130360
5004,3,21300,Samuel Adams Black Lager,Boston Beer Company (Samuel Adams),Schwarzbier,4.9,4.0,1196307573
6464,4,51512,Peeper Ale,Maine Beer Company,American Pale Ale (APA),5.5,4.0,1296054136
6738,4,65518,Pamola Xtra Pale Ale,Baxter Brewing Co.,American Pale Ale (APA),4.9,5.0,1296047711
6791,5,131,Ayinger Celebrator Doppelbock,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,Doppelbock,6.7,4.0,1263007199
8822,5,197,Obsidian Stout,Deschutes Brewery,American Stout,6.4,4.5,1321053725
9582,5,234,Hacker-Pschorr Oktoberfest-Märzen,Hacker-Pschorr Bräu GmbH,Märzen / Oktoberfest,5.8,4.5,1285362990
10253,5,412,Old Rasputin Russian Imperial Stout,North Coast Brewing Co.,Russian Imperial Stout,9.0,4.5,1321643919
13222,5,645,Trappistes Rochefort 10,Brasserie de Rochefort,Quadrupel (Quad),11.3,4.5,1305851542
15339,5,695,Duvel,Brouwerij Duvel Moortgat NV,Belgian Strong Pale Ale,8.5,4.0,1265418545
17720,5,705,J.W. Lees Vintage Harvest Ale,J.W. Lees & Co (Brewers) Ltd,English Barleywine,11.5,3.5,1267911418
18430,5,752,Guinness Foreign Extra Stout,Guinness Ltd.,Foreign / Export Stout,7.5,3.0,1291069259
19101,5,776,Samichlaus Bier,Brauerei Schloss Eggenberg,Doppelbock,14.0,4.0,1293325541
19998,5,779,Weihenstephaner Korbinian,Bayerische Staatsbrauerei Weihenstephan,Doppelbock,7.4,4.0,1286493800
20931,5,782,Samuel Smith's Imperial Stout,Samuel Smith Old Brewery (Tadcaster),Russian Imperial Stout,7.0,5.0,1267486706
22507,5,817,De Dolle Stille Nacht,Brouwerij De Dolle Brouwers,Belgian Strong Pale Ale,12.0,4.0,1293310179
22949,5,857,Trappist Westvleteren 8,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Dubbel,8.0,4.5,1310243206
23651,5,945,Adam,Hair of the Dog Brewing Company / Brewery and Tasting Room,Old Ale,10.0,4.0,1305925263
24454,5,1008,Moonglow Weizenbock,Victory Brewing Company,Weizenbock,8.7,4.0,1259713838
25095,5,1009,Old Horizontal,Victory Brewing Company,American Barleywine,11.0,4.0,1300747131
26144,5,1013,Storm King Stout,Victory Brewing Company,Russian Imperial Stout,9.1,4.0,1317339173
28503,5,1115,Lion Stout,Ceylon / Lion Brewery Limited,Foreign / Export Stout,8.8,4.0,1253051621
29286,5,1160,Stone Imperial Russian Stout,Stone Brewing Co.,Russian Imperial Stout,10.5,4.5,1319845597
31531,5,1230,EKU 28,Kulmbacher Brauerei AG,Doppelbock,11.0,4.0,1294527774
31951,5,1307,Der Weisse Bock,Mahrs-Bräu,Weizenbock,8.5,4.0,1254787806
32056,5,1444,Bell's Expedition Stout,"Bell's Brewery, Inc.",Russian Imperial Stout,10.5,4.0,1290222172
33699,5,1545,Trappist Westvleteren 12,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Quadrupel (Quad),10.2,4.0,1307576753
34933,5,1717,Saison Dupont,Brasserie Dupont sprl,Saison / Farmhouse Ale,6.5,4.5,1311199757
36183,5,1830,Out Of Bounds Stout,Avery Brewing Company,Irish Dry Stout,6.3,4.0,1320360541
36670,5,1901,Zywiec Porter,Zywiec Breweries PLC (Heineken),Baltic Porter,9.5,4.0,1304033686
36977,5,1934,Schneider Aventinus Weizen-Eisbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,Eisbock,12.0,4.0,1266191140
37898,5,2093,90 Minute IPA,Dogfish Head Brewery,American Double / Imperial IPA,9.0,4.0,1289346965
41004,5,2392,World Wide Stout,Dogfish Head Brewery,American Double / Imperial Stout,18.0,4.0,1307916906
42403,5,2671,Sierra Nevada Bigfoot Barleywine Style Ale,Sierra Nevada Brewing Co.,American Barleywine,9.6,4.0,1299798494
44817,5,2732,Bell's Consecrator Doppelbock,"Bell's Brewery, Inc.",Doppelbock,8.0,4.0,1260580896
45364,5,2899,Andechser Doppelbock Dunkel,Klosterbrauerei Andechs,Doppelbock,7.1,5.0,1256077621
45644,5,3054,Piton Lager Beer,Windward & Leeward Brewery Ltd.,American Adjunct Lager,5.0,3.0,1258769861
45674,5,3338,Cadillac Mountain Stout,Bar Harbor Brewing Company,American Stout,6.7,4.5,1315351904
46273,5,3606,Weltenburger Kloster Asam-Bock,Klosterbrauerei Weltenburg,Doppelbock,6.9,4.5,1293835842
46532,5,3833,AleSmith Speedway Stout,AleSmith Brewing Company,American Double / Imperial Stout,12.0,4.0,1296427369
